RadDecay File: Nuclides.Rec
Symbol, Name, Atomic Num,  Atomic Mass, Weight, Half Life, Units, Daugh 1, Branch1, Daugh 2, Branch2
Pm-151  	Promethium	61	151	145.000	2,8400E+1	H	Sm-151  	1.0000
Po-209  	Polonium	84	209	209.000	1,0200E+2	Y	Pb-205  	0.9974
Po-210  	Polonium	84	210	209.000	1,3838E+2	D
Po-211  	Polonium	84	211	209.000	5,1600E-1	S
Po-212  	Polonium	84	212	209.000	2,9800E-7	S
Po-213  	Polonium	84	213	209.000	4,2000E-6	S	Pb-209  	1.0000
Po-214  	Polonium	84	214	209.000	1,6370E-4	S	Pb-210  	1.0000
Po-215  	Polonium	84	215	209.000	1,7780E-3	S	Pb-211  	1.0000
Po-216  	Polonium	84	216	209.000	1,4600E-1	S	Pb-212  	1.0000
Po-218  	Polonium	84	218	209.000	3,0500E+0	M	Pb-214  	0.9998
Pr-142  	Praseodymium	59	142	140.908	1,9130E+1	H
Pr-143  	Praseodymium	59	143	140.908	1,3560E+1	D
Pr-144  	Praseodymium	59	144	140.908	1,7280E+1	M
Pr-144m 	Praseodymium	59	144	140.908	7,2000E+0	M	Pr-144  	0.9994
Pt-191  	Platinum	78	191	195.080	2,7100E+0	D
Pt-193  	Platinum	78	193	195.080	5,0000E+1	Y
Pt-193m 	Platinum	78	193	195.080	4,3300E+0	D	Pt-193  	1.0000
Pt-195m 	Platinum	78	195	195.080	4,0200E+0	D
Pt-197  	Platinum	78	197	195.080	1,8300E+1	H
Pt-197m 	Platinum	78	197	195.080	9,4400E+1	M	Pt-197  	0.9670
Pu-236  	Plutonium	94	236	244.000	2,8510E+0	Y	U-232   	1.0000
Pu-237  	Plutonium	94	237	244.000	4,5300E+1	D	Np-237  	1.0000	U-233   	0.0000
Pu-238  	Plutonium	94	238	244.000	8,7750E+1	Y	U-234   	1.0000
Pu-239  	Plutonium	94	239	244.000	2,4131E+4	Y	U-235   	1.0000
Pu-240  	Plutonium	94	240	244.000	6,5690E+3	Y	U-236   	1.0000
Pu-241  	Plutonium	94	241	244.000	1,4400E+1	Y	Am-241  	1.0000	U-237   	0.0000
Pu-242  	Plutonium	94	242	244.000	3,7580E+5	Y	U-238   	1.0000
Pu-243  	Plutonium	94	243	244.000	4,9560E+0	H	Am-243  	1.0000
Pu-244  	Plutonium	94	244	244.000	8,2600E+7	Y	U-240   	0.9987
Pu-245  	Plutonium	94	245	244.000	1,0570E+1	H	Am-245  	1.0000
Pu-246  	Plutonium	94	246	244.000	1,0850E+1	D	Am-246  	1.0000
Ra-222  	Radium	88	222	226.025	3,8000E+1	S	Rn-218  	1.0000
Ra-223  	Radium	88	223	226.025	1,1434E+1	D	Rn-219  	1.0000
Ra-224  	Radium	88	224	226.025	3,6200E+0	D	Rn-220  	1.0000
Ra-225  	Radium	88	225	226.025	1,4800E+1	D	Ac-225  	1.0000
Ra-226  	Radium	88	226	226.025	1,6000E+3	Y	Rn-222  	1.0000
Ra-228  	Radium	88	228	226.025	5,7500E+0	Y	Ac-228  	1.0000
Rb-81   	Rubidium	37	81	85.468	4,5800E+0	H	Kr-81   	1.0000
Rb-82   	Rubidium	37	82	85.468	1,2500E+0	M
Rb-83   	Rubidium	37	83	85.468	8,6200E+1	D	Kr-83m  	0.7600
Rb-84   	Rubidium	37	84	85.468	3,2900E+1	D
Rb-86   	Rubidium	37	86	85.468	1,8660E+1	D
Rb-87   	Rubidium	37	87	85.468	4,7300E+10	Y
Rb-88   	Rubidium	37	88	85.468	1,7800E+1	M
Rb-89   	Rubidium	37	89	85.468	1,5440E+1	M	Sr-89   	1.0000
Rb-90   	Rubidium	37	90	85.468	1,5700E+2	S	Sr-90   	1.0000
Rb-90m  	Rubidium	37	90	85.468	2,5800E+2	S	Rb-90   	0.0230	Sr-90   	0.9770
Re-182  	Rhenium	75	182	186.207	6,4000E+1	H
Re-182m 	Rhenium	75	182	186.207	1,2700E+1	H
Re-183  	Rhenium	75	183	186.207	7,0000E+1	D
Re-184  	Rhenium	75	184	186.207	3,8000E+1	D
Re-184m 	Rhenium	75	184	186.207	1,6900E+2	D	Re-184  	0.7470
Re-186  	Rhenium	75	186	186.207	9,0640E+1	H	Os-186  	0.9260
Re-187  	Rhenium	75	187	186.207	4,7000E+10	Y
Re-188  	Rhenium	75	188	186.207	1,6980E+1	H
Rh-103m 	Rhodium	45	103	102.905	5,6119E+1	M
Rh-105  	Rhodium	45	105	102.905	3,5360E+1	H
Rh-105m 	Rhodium	45	105	102.905	4,5000E+1	S	Rh-105  	1.0000
Rh-106  	Rhodium	45	106	102.905	2,9920E+1	S
Rn-218  	Radon	86	218	222.000	3,5000E-2	S	Po-214  	1.0000
Rn-219  	Radon	86	219	222.000	3,9600E+0	S	Po-215  	1.0000
Rn-220  	Radon	86	220	222.000	5,5610E+1	S	Po-216  	1.0000
